rating	date	variation	verified_reviews	feedback	cleaned_reviews	sentiment_polarity	review_length	feedback_encoded	sentiment_encoded	sentiment_Neutral	sentiment_Positive	pca_1	pca_2
5	31-Jul-18	Charcoal Fabric 	Love my Echo!	1	love echo	0.5	2	1	2	False	True	0.8438449270523075	-0.6028166029817746
5	31-Jul-18	Charcoal Fabric 	Loved it!	1	love	0.5	1	1	2	False	True	0.8566769650203795	-0.6820854348134366
4	31-Jul-18	Walnut Finish 	Sometimes while playing a game, you can answer a question correctly but Alexa says you got it wrong and answers the same as you.  I like being able to turn lights on and off while away from home.	1	sometim play game answer question correctli alexa say got wrong answer like abl turn light away home	-0.16666666666666666	17	1	0	False	False	-0.8011816178087953	0.21088233873117024
5	31-Jul-18	Charcoal Fabric 	I have had a lot of fun with this thing. My 4 yr old learns about dinosaurs, i control the lights and play games like categories. Has nice sound when playing music as well.	1	lot fun thing yr old learn dinosaur control light play game like categori nice sound play music well	0.2333333333333333	18	1	2	False	True	0.3195044491365187	0.5337747383763397
5	31-Jul-18	Charcoal Fabric 	Music	1	music	0.0	1	1	1	True	False	0.2584997079704352	-0.9290416247168309
5	31-Jul-18	Heather Gray Fabric 	I received the echo as a gift. I needed another Bluetooth or something to play music easily accessible, and found this smart speaker. Can’t wait to see what else it can do.	1	receiv echo gift need anoth bluetooth someth play music easili access found smart speaker cant wait see els	0.21428571428571427	18	1	2	False	True	0.29671674410604465	0.524366883522877
3	31-Jul-18	Sandstone Fabric 	Without having a cellphone, I cannot use many of her features. I have an iPad but do not see that of any use.  It IS a great alarm.  If u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.It is fun to ask random questions to hear her response.  She does not seem to be very smartbon politics yet.	1	without cellphon use mani featur ipad see use great alarm u r almost deaf hear alarm bedroom live room reason enough keep herit fun ask random question hear respons seem smartbon polit yet	0.14727272727272728	33	1	2	False	True	-1.2858877134782003	1.5881835853226764
5	31-Jul-18	Charcoal Fabric 	I think this is the 5th one I've purchased. I'm working on getting one in every room of my house. I really like what features they offer specifily playing music on all Echos and controlling the lights throughout my house.	1	think th one ive purchas im work get one everi room hous realli like featur offer specifili play music echo control light throughout hous	0.4	24	1	2	False	True	0.4419046403447349	1.0917064593341093
5	30-Jul-18	Heather Gray Fabric 	looks great	1	look great	0.8	2	1	2	False	True	1.202751281282274	-0.4546428890397381
5	30-Jul-18	Heather Gray Fabric 	Love it! I’ve listened to songs I haven’t heard since childhood! I get the news, weather, information! It’s great!	1	love ive listen song havent heard sinc childhood get news weather inform great	0.65	13	1	2	False	True	0.882145686518499	0.34322740413752506
5	30-Jul-18	Charcoal Fabric 	I sent it to my 85 year old Dad, and he talks to it constantly.	1	sent year old dad talk constantli	0.1	6	1	2	False	True	0.31397496954006415	-0.4833062275778423
5	30-Jul-18	Charcoal Fabric 	I love it! Learning knew things with it eveyday! Still figuring out how everything works but so far it's been easy to use and understand. She does make me laugh at times	1	love learn knew thing eveyday still figur everyth work far easi use understand make laugh time	0.3	16	1	2	False	True	0.42492549267932195	0.4081645667001349
5	30-Jul-18	Oak Finish 	I purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.She enjoys all the little and big things it can do...Alexa play this song, What time is it and where, and how to cook this and that!	1	purchas mother knee problem give someth tri come get around fast like didsh enjoy littl big thing doalexa play song time cook	0.20000000000000004	22	1	2	False	True	0.2282978134609012	0.8343863197094279
5	30-Jul-18	Charcoal Fabric 	Love, Love, Love!!	1	love love love	0.5	3	1	2	False	True	0.8310128890842355	-0.5235477711501128
5	30-Jul-18	Oak Finish 	Just what I expected....	1	expect	0.0	1	1	1	True	False	0.2584997079704352	-0.9290416247168309
5	30-Jul-18	Heather Gray Fabric 	I love it, wife hates it.	1	love wife hate	-0.15000000000000002	3	1	0	False	False	0.05338245491930798	-0.8445908180245253
5	30-Jul-18	Heather Gray Fabric 	Really happy with this purchase.  Great speaker and easy to set up.	1	realli happi purchas great speaker easi set	0.8	7	1	2	False	True	1.138591091441914	-0.05829872988142828
5	30-Jul-18	Heather Gray Fabric 	We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.	1	use alexa coupl day lot fun new toy like new household member tri learn differ featu benefit come	0.19090909090909092	18	1	2	False	True	0.2687500152050083	0.512820879839082
5	30-Jul-18	Charcoal Fabric 	We love the size of the 2nd generation echo. Still needs a little improvement on sound	1	love size nd gener echo still need littl improv sound	0.45	10	1	2	False	True	0.6813708976027372	0.006638432681181535
4	30-Jul-18	Sandstone Fabric 	I liked the original Echo. This is the same but shorter and with greater fabric/color choices. I miss the volume ring on top, now it's just the plus/minus buttons. Not a big deal but the ring w as comforting. :) Other than that, well I do like the use of a standard USB charger /port instead of the previous round pin. Other than that, I guess it sounds the same, seems to work the same, still answers to Alexa/Echo/Computer. So what's not to like? :)	1	like origin echo shorter greater fabriccolor choic miss volum ring top plusminu button big deal ring w comfort well like use standard usb charger port instead previou round pin guess sound seem work still answer alexaechocomput what like	0.20000000000000004	38	1	2	False	True	-0.6319910933016811	2.0566290131252276
5	30-Jul-18	Charcoal Fabric 	Love the Echo and how good the music sounds playing off it. Alexa understands most commands but it is difficult at times for her to find specific playlists or songs on Spotify. She is good with Amazon Music but is lacking in other major programs.	1	love echo good music sound play alexa understand command difficult time find specif playlist song spotifi good amazon music lack major program	0.3104166666666667	22	1	2	False	True	0.3603952910594305	0.8889224783130941
5	30-Jul-18	Charcoal Fabric 	We love Alexa! We use her to play music, play radio through iTunes, play podcasts through Anypod, and set reminders. We listen to our flash briefing of news and weather every morning. We rely on our custom lists. We like being able to voice control the volume. We're sure we'll continue to find new uses.Sometimes it's a bit frustrating when Alexa doesn't understand what we're saying.	1	love alexa use play music play radio itun play podcast anypod set remind listen flash brief news weather everi morn reli custom list like abl voic control volum sure well continu find new usessometim bit frustrat alexa doesnt understand say	0.28409090909090906	40	1	2	False	True	0.09792366872127768	2.3027588337085505
